tiempo,a_x,a_y,a_z,a_mod
1.485000000000000098e+00,-9.184514158729457922e-02,1.416896761785952641e-01,9.798545204435766820e+00,9.799999980496936658e+00
1.520000000000000018e+00,-9.184514476095435864e-02,1.416896783441358998e-01,9.798545202978989010e+00,9.799999979101427172e+00
1.550000000000000044e+00,-9.184513660394297285e-02,1.416896759159809727e-01,9.798545210119350202e+00,9.799999986129174445e+00
1.584999999999999964e+00,-9.184513172122911462e-02,1.416896748389532001e-01,9.798545214782237167e+00,9.799999990730038135e+00
1.620000000000000107e+00,-9.184513165266246226e-02,1.416896755785002349e-01,9.798545215652820772e+00,9.799999991610540917e+00
1.649999999999999911e+00,-9.184513647457243080e-02,1.416896780744606732e-01,9.798545212557407069e+00,9.799999988596864497e+00
1.685000000000000053e+00,-9.184513703611096869e-02,1.416896789669989665e-01,9.798545212839009366e+00,9.799999988896592740e+00
1.715000000000000080e+00,-9.184513632161608876e-02,1.416896792335264055e-01,9.798545213965452305e+00,9.799999990020026530e+00
1.750000000000000000e+00,-9.184514108072856786e-02,1.416896816785743751e-01,9.798545210895271751e+00,9.799999987030252768e+00
1.784999999999999920e+00,-9.184513616301009931e-02,1.416896803257350068e-01,9.798545215291927235e+00,9.799999991360609286e+00
1.814999999999999947e+00,-9.184513618104017674e-02,1.416896807886377785e-01,9.798545215731536473e+00,9.799999991807014865e+00
1.850000000000000089e+00,-9.184514416812733506e-02,1.416896843810298567e-01,9.798545210040206399e+00,9.799999986243323136e+00
1.879999999999999893e+00,-9.184513184824244503e-02,1.416896799937011620e-01,9.798545220012270462e+00,9.799999996035012373e+00
1.915000000000000036e+00,-9.184513277273270715e-02,1.416896807919726109e-01,9.798545219730341316e+00,9.799999995773331918e+00
1.949999999999999956e+00,-9.184513920036964374e-02,1.416896836971256179e-01,9.798545215147429488e+00,9.799999991293342205e+00
1.979999999999999982e+00,-9.184513592811634208e-02,1.416896827587490193e-01,9.798545218012232993e+00,9.799999994113486323e+00
